id,name_hu,name_latin,category,region,era,period,epoch,mya_min,mya_max,height_m_min,height_m_max,length_m_min,length_m_max,weight_kg_min,weight_kg_max,discovery_year,discoverer_name,description_hu,rarity,created_at,updated_at,taxonomy_group,pack_number,education_level,edu,height_m_est,height_m_est_max,height_m_est_min,taxonomy_hu,diet_hu,diet_eng,latin_name_end
39f27b32-578e-4aae-b3ea-c6066cb1ad29,Amargasaurus,Amargasaurus,dinosaur,Dél-Amerika,Mezozoikum,Kréta,kora-kréta,132,127,3.96,null,12,null,9000,null,1984,Guillermo Heredia (leírta Bonaparte és Salgado),"A Amargasaurus egy rendkívül bizarr megjelenésű, viszonylag kisméretű szauropoda dinoszaurusz, amely a kora kréta időszakban élt a mai Argentína területén. Legfőbb jellegzetessége a nyakán és a hátán két párhuzamos sorban futó, meghökkentően hosszú, pálcaszerű csigolyatüske-sor volt. E tüskék pontos funkciója máig vitatott: egyes kutatók szerint bőrrel borított vitorlát alkottak a hőszabályozáshoz, mások szerint puszta védekező vagy vizuális elrettentő fegyverek voltak. Körülbelül 9-10 méter hosszú állatként alacsonyan fekvő növényzettel táplálkozott az erdős folyópartokon.",common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,7,bonus,5,null,null,3.96,null,ismeretlen,unknown,
6e4d64ac-b1bb-41e1-8c1a-21629934c686,Dromiceiomimus,Dromiceiomimus,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,74,70,1.16,null,3.5,null,100,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,1.16,null,ismeretlen,unknown,
017e1380-b597-4158-b1ac-ce49403220f8,Cetiosaurus,Cetiosaurus oxoniensis,dinosaur,Európa,Mezozoikum,Jura,középső-jura,170,167.0,6.30,5.60,18,16.0,null,10000.0,1841,leírta Richard Owen,"Ez volt a tudomány által elsőként felfedezett és leírt sauropoda, azaz hosszú nyakú óriás dinoszaurusz, bár felfedezésekor Richard Owen óriási tengeri hüllőnek, egy hatalmas krokodilszerű állatnak vélte a hatalmas csigolyák alapján. Csak később vált nyilvánvalóvá, hogy egy szárazföldi, négylábú növényevő csontjairól van szó. Neve, jelentése 'bálnagyík', máig őrzi ezt a korai téves azonosítást.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,Saurischia (Sauropoda),2,középiskola,2,5.60,5.60,6.30,Saurischia (Sauropodák),növényevő,herbivore,oxoniensis
25574018-9805-4db0-9953-c6828033601f,Therizinosaurus,Therizinosaurus cheloniformis,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,71,66,2.97,3.30,9.0,10.0,null,null,1954,Evgeny Maleev,"Rendkívül hosszú, merev karmokkal rendelkező theropoda, amely feltehetően növényevő életmódot violent.",legendary,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,1,doktori,4,3.30,3.30,2.97,null,ismeretlen,unknown,cheloniformis
b570b24e-6f33-4fa5-8161-9cf31d298a8e,Australotitan,Australotitan cooperensis,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,96,92,8.25,9.90,25.0,30.0,null,null,2021,Scott Hocknull,"Ausztrália legnagyobb ismert dinoszaurusza, amely méretében a dél-amerikai óriás szauropodákhoz hasonlítható.",legendary,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,1,doktori,4,9.90,9.90,8.25,null,ismeretlen,unknown,cooperensis
6c991a7d-8fbe-4071-a129-372efe20568b,Saurornitholestes,Saurornitholestes,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,77,72,0.59,null,1.8,null,30,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,0.59,null,ismeretlen,unknown,
40d73f24-120f-42b3-ab46-c0f06a308724,Centrosaurus,Centrosaurus,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,76,74,1.98,null,6,null,1000,null,1901,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,1.98,null,ismeretlen,unknown,
fc790fc0-ad3b-4037-9778-6f2598d21d37,Metriacanthosaurus,Metriacanthosaurus,dinosaur,Európa,Mezozoikum,Jura,késő-jura,159,154,2.71,null,8.2,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,2.71,null,ismeretlen,unknown,
49ee0356-42d5-4b16-8de8-746fd3317bcd,"Syntarsus   ","Syntarsus   ",dinosaur,Észak-Amerika,Mezozoikum,Triász,késő-triász,205,190,0.71,null,2.15,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.71,null,ismeretlen,unknown,
2286ad4c-63a8-42ec-9079-efbb37cb009f,Archaeopteryx,Archaeopteryx lithographica,dinosaur,Európa,Mezozoikum,Jura,késő-jura,150.0,147,0.19,0.19,0.5,0.5,0.5,1.0,1861,"solnhofeni kőfejtő munkások, leírta Hermann von Meyer","Bár leginkább a madarak ősének tartják, anatómiailag valójában egy tollas theropoda dinoszaurusz a jura időszak végéről. Tollas szárnyai mellett még hüllőszerű fogai, hosszú csontos farka és karmos ujjai is megmaradtak, így a tudománytörténet egyik leghíresebb 'átmeneti formájává' vált. Fosszíliái ugyanabból a finom solnhofeni mészkőből kerültek elő, mint a Compsognathus csontvázai.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,"Saurischia (Theropoda, Avialae)",2,középiskola,2,0.19,0.19,0.19,"Saurischia (Theropodák, Madárszerűek)",mindenevő,omnivore,lithographica
